Q,r1,r2,r3,r4,r5,r6,r7,r'1,r'2,r'3,r'4,r'5,r'6,r'7,q1,q2,q3,q4,q5,q6,q7,q'1,q'2,q'3,q'4,q'5,q'6,q'7,deltaq1,deltaq2,deltaq3,deltaq4,deltaq5,deltaq6,deltaq7,p6,p4,p3,p5,p2,p1,p'6,p'4,p'3,p'5,p'2,p'1,deltap6,deltap4,deltap3,deltap5,deltap2,deltap1,h1,h2,h3,h4,h5,h6,h7,h'1,h'2,h'3,h'4,h'5,h'6,h'7,deltah1,deltah2,deltah3,deltah4,deltah5,deltah6,deltah7,r0,delta_r0,ei
20.068705,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.475657,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.068705,10.057660,10.011045,8.034401,2.023260,12.034304,20.068705,0.011252,0.028980,-0.017728,0.011530,0.017450,-0.000278,0.011252,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022934,-351.474376,-300.304636,-602.904155,-151.032343,0.000000,-0.000448,0.541208,1.420048,0.552811,-0.169311,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.032343,149.272292,200.442033,302.585593,51.169741,251.429779,201.376458,0.169311,-1.589359,-0.710519,0.867815,0.878840,-0.011604,0.225748,1.500000,-0.024343,2.000000
20.125201,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.356533,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.125201,10.203209,9.921992,8.092868,2.110342,12.032333,20.125201,0.067748,0.174529,-0.106781,0.069997,0.104532,-0.002249,0.067748,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.020842,-348.775725,-293.106452,-600.123147,-151.883893,0.000000,-0.002539,3.239859,8.618232,3.333820,-1.020861,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.883893,141.222558,196.891832,307.005515,55.669273,251.347422,202.511858,1.020861,-9.639093,-4.260720,5.287737,5.378373,-0.093961,1.361148,1.500000,-0.143467,2.000000
20.109657,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.388800,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.109657,10.163156,9.946501,8.076687,2.086469,12.032970,20.109657,0.052204,0.134476,-0.082271,0.053816,0.080660,-0.001612,0.052204,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021388,-349.515129,-295.098193,-600.889176,-151.649367,0.000000,-0.001993,2.500455,6.626491,2.567790,-0.786334,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.649367,143.448826,197.865762,305.779071,54.416937,251.374047,202.199156,0.786334,-7.412825,-3.286789,4.061294,4.126036,-0.067335,1.048446,1.500000,-0.111200,2.000000
20.088193,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.433987,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.088193,10.107857,9.980335,8.054460,2.053397,12.033732,20.088193,0.030740,0.079177,-0.048437,0.031589,0.047588,-0.000850,0.030740,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022181,-350.539993,-297.834498,-601.945876,-151.325807,0.000000,-0.001201,1.475591,3.890186,1.511090,-0.462775,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.325807,146.508691,199.214186,304.098427,52.705495,251.405883,201.767743,0.462775,-4.352961,-1.938366,2.380649,2.414595,-0.035499,0.617033,1.500000,-0.066013,2.000000
20.107384,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.393552,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.107384,10.157298,9.950085,8.074326,2.082972,12.033058,20.107384,0.049931,0.128618,-0.078687,0.051455,0.077163,-0.001524,0.049931,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021470,-349.623477,-295.388810,-601.001168,-151.615078,0.000000,-0.001911,2.392107,6.335874,2.455798,-0.752045,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.615078,143.773732,198.008399,305.600337,54.234667,251.377691,202.153437,0.752045,-7.087919,-3.144152,3.882560,3.943767,-0.063691,1.002727,1.500000,-0.106448,2.000000
20.064403,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.484938,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.064403,10.046581,10.017822,8.029988,2.016593,12.034415,20.064403,0.006950,0.017900,-0.010950,0.007117,0.010783,-0.000167,0.006950,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.023104,-351.681129,-300.848050,-603.115535,-150.967605,0.000000,-0.000278,0.334455,0.876634,0.341432,-0.104573,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,150.967605,149.880445,200.713524,302.253339,50.833080,251.434405,201.290140,0.104573,-0.981207,-0.439027,0.535561,0.542180,-0.006977,0.139430,1.500000,-0.015062,2.000000
20.062950,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.488080,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.062950,10.042839,10.020112,8.028499,2.014340,12.034451,20.062950,0.005497,0.014158,-0.008661,0.005628,0.008530,-0.000131,0.005497,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.023162,-351.751010,-301.031459,-603.186924,-150.945740,0.000000,-0.000220,0.264574,0.693225,0.270042,-0.082708,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,150.945740,150.085719,200.805269,302.141245,50.719551,251.435915,201.260987,0.082708,-0.775933,-0.347282,0.423467,0.428651,-0.005467,0.110277,1.500000,-0.011920,2.000000
20.100610,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.407756,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.100610,10.139847,9.960763,8.067302,2.072545,12.033308,20.100610,0.043157,0.111166,-0.068009,0.044431,0.066736,-0.001274,0.043157,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021717,-349.946553,-296.253507,-601.334719,-151.512948,0.000000,-0.001665,2.069031,5.471177,2.122247,-0.649916,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.512948,144.740559,198.433605,305.068866,53.693047,251.388166,202.017264,0.649916,-6.121093,-2.718946,3.351089,3.402146,-0.053216,0.866555,1.500000,-0.092244,2.000000
20.075286,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.461516,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.075286,10.074610,10.000675,8.041162,2.033449,12.034124,20.075286,0.017833,0.045930,-0.028097,0.018291,0.027639,-0.000458,0.017833,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.022676,-351.158424,-299.472003,-602.580670,-151.131412,0.000000,-0.000706,0.857160,2.252681,0.876296,-0.268379,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.131412,148.340591,200.027012,303.095074,51.686421,251.422246,201.508549,0.268379,-2.521060,-1.125539,1.377296,1.395521,-0.019136,0.357839,1.500000,-0.038484,2.000000
20.108470,0.375000,1.500000,2.000000,4.687500,12.500000,1.736100,0.500000,0.375000,1.391280,2.000000,4.687500,12.500000,1.736100,0.500000,20.057453,10.028681,10.028772,8.022871,2.005810,12.034582,20.057453,20.108470,10.160098,9.948372,8.075454,2.084644,12.033016,20.108470,0.051017,0.131418,-0.080400,0.052583,0.078835,-0.001566,0.051017,0.023382,-352.015584,-301.724684,-603.456966,-150.863032,0.000000,0.021431,-349.571679,-295.249914,-600.947636,-151.631468,0.000000,-0.001951,2.443905,6.474770,2.509330,-0.768435,0.000000,150.863032,150.861651,201.152551,301.717778,50.290901,251.441382,201.150710,151.631468,143.618446,197.940211,305.685754,54.321766,251.375957,202.175290,0.768435,-7.243205,-3.212340,3.967976,4.030865,-0.065425,1.024581,1.500000,-0.108720,2.000000
